"standard_error_unadjusted"	"coefficient_unadjusted"	"fold_change_up_or_down_regulated_unadjusted"	"p_unadjusted"	"standard_error_adjusted"	"coefficient_adjusted"	"fold_change_up_or_down_regulated_adjusted"	"p_adjusted"
"201244_s_at"	0.0721783061492046	-0.0908122942300248	-1.06496963360264	0.213288184311534	0.0335864150647451	-0.0815979057053476	-1.05818942523946	0.0188315595363956
"201245_s_at"	0.203399017413882	-0.528662258322762	-1.44259093002354	0.0117879669358698	0.0492297700169753	-0.106919401795898	-1.07692621050269	0.0347360470299003
"201251_at"	0.134609673693041	-0.362698517687458	-1.28582875364196	0.00916849035542656	0.0477698234123541	-0.126836307124194	-1.09189664856865	0.0106636443117124
"201257_x_at"	0.0395457288745646	0.0547866837867968	1.03870550943254	0.171145394776273	0.021524435280196	0.0500310239521922	1.03528718658848	0.0242934700491047
"201263_at"	0.117687016071128	-0.13735084029565	-1.09988359084358	0.247871108581483	0.0620047736608963	-0.142660155165069	-1.10393876996755	0.0256988140220832
"201264_at"	0.0863240320325723	-0.231992497657313	-1.17445586375988	0.00934066475143285	0.0440419955313473	-0.0990781292057342	-1.07108882647768	0.0289985469257744
"201268_at"	0.0737912908639598	-0.0295606669879185	-1.0207012519412	0.690162853484369	0.0373132741271586	-0.102893355743196	-1.07392508396559	0.00816051779180436
"201277_s_at"	0.0480204190719083	-0.0975301271805496	-1.0699401717678	0.0467671129160726	0.0374525330637853	-0.115283368327238	-1.08318777999753	0.00340737193326504
"201279_s_at"	0.0766120689919576	-0.182452695824403	-1.13481151571797	0.0204864510964769	0.0683713676658447	-0.139576300577108	-1.10158154922005	0.0466105631823962
"201280_s_at"	0.0933637068899716	-0.107760580428755	-1.07755430683399	0.253071210967354	0.0562428988431065	-0.183477922590794	-1.13561823688552	0.00201648347399508
"201284_s_at"	0.064611846868136	-0.107013082505177	-1.07699614245919	0.102981655998212	0.0376954293122554	-0.0821762548240707	-1.05861371837887	0.0340903433054688
"201296_s_at"	0.0810444050086154	-0.091866920924677	-1.06574842329063	0.261573450833927	0.0513975108669001	-0.113620242180166	-1.08193981011961	0.0317617007876334
